Class	Experimental	Recalibrated	Theoretical	Error (ppm)	Mol. Formula	Intensity
N	420,175728	NaN	420,175772	0,10471808	C32H23N		712,057068
N	420,269578	NaN	420,269672	0,223665913	C31H35N		5870,26416
N	422,191317	NaN	422,191422	0,248702353	C32H25N		1430,476074
N	422,28526	NaN	422,285323	0,14918823	C31H37N		4464,716797
N	422,379245	NaN	422,379222	-0,054453436	C30H49N		401,226776
N	424,206991	NaN	424,207072	0,190944483	C32H27N		1458,860718
N	424,301015	NaN	424,300973	-0,098986339	C31H39N		6453,151367
N	426,222748	NaN	426,222722	-0,061000971	C32H29N		2358,361572
N	426,316568	NaN	426,316622	0,126666419	C31H41N		9622,585938
N	428,238316	NaN	428,238372	0,130768291	C32H31N		3205,262939
N	428,332191	NaN	428,332272	0,189105527	C31H43N		3506,204102
N	430,253976	NaN	430,254022	0,106913585	C32H33N		3695,551758
N	430,347896	NaN	430,347922	0,060416232	C31H45N		5795,681641
N	432,175831	NaN	432,175772	-0,136518528	C33H23N		578,323853
N	432,269743	NaN	432,269672	-0,164249321	C32H35N		4669,397949
N	432,363696	NaN	432,363572	-0,286795669	C31H47N		9717,875977
N	434,191419	NaN	434,191422	0,006909395	C33H25N		848,875549
N	434,285353	NaN	434,285323	-0,06907901	C32H37N		6811,634766
N	434,379327	NaN	434,379222	-0,241724269	C31H49N		468,233429
N	436,207169	NaN	436,207072	-0,222371452	C33H27N		1577,252441
N	436,301112	NaN	436,300973	-0,318587417	C32H39N		4834,374512
N	436,394808	NaN	436,394872	0,146656169	C31H51N		518,121033
N	438,222821	NaN	438,222722	-0,225912521	C33H29N		1718,528076
N	438,316762	NaN	438,316622	-0,319403812	C32H41N		7255,527832
N	440,238405	NaN	440,238372	-0,07495939	C33H31N		2670,977295
N	440,332332	NaN	440,332272	-0,136260737	C32H43N		11471,68457
N	442,253958	NaN	442,254022	0,144713212	C33H33N		3374,760254
N	442,347858	NaN	442,347922	0,144682493	C32H45N		3752,356934
N	444,269821	NaN	444,269672	-0,335381885	C33H35N		3727,805664
N	444,363682	NaN	444,363572	-0,247545044	C32H47N		6218,813477
N	446,191375	NaN	446,191422	0,105335956	C34H25N		570,898254
N	446,285446	NaN	446,285323	-0,275608436	C33H37N		4470,646484
N	446,379256	NaN	446,379222	-0,07616842	C32H49N		10164,82813
N	448,207175	NaN	448,207072	-0,229804495	C34H27N		1010,881104
N	448,300882	NaN	448,300973	0,202988629	C33H39N		6956,307129
N	448,394931	NaN	448,394872	-0,131580452	C32H51N		438,678864
N	450,222857	NaN	450,222722	-0,299851592	C34H29N		1566,277832
N	450,316486	NaN	450,316622	0,302009727	C33H41N		4961,46875
N	450,410462	NaN	450,410522	0,133211808	C32H53N		515,498047
N	452,238478	NaN	452,238372	-0,234389664	C34H31N		1965,502563
N	452,332328	NaN	452,332272	-0,123802796	C33H43N		7790,250488
