Class	Experimental	Recalibrated	Theoretical	Error (ppm)	Mol. Formula	Intensity
NO	462,280385	NaN	462,280238	-0,317988934	C33H37NO	897,589966
NO	464,201984	NaN	464,201987	0,006462704	C34H27NO	8748,666016
NO	466,217612	NaN	466,217637	0,053623025	C34H29NO	5044,486328
NO	468,139299	NaN	468,139388	0,190114317	C35H19NO	1655,806152
NO	468,233226	NaN	468,233287	0,13027694	C34H31NO	2800,399414
NO	470,155198	NaN	470,155037	-0,342440232	C35H21NO	7130,843262
NO	470,248932	NaN	470,248937	0,010632666	C34H33NO	2246,617188
NO	472,170643	NaN	472,170687	0,09318664	C35H23NO	12502,21484
NO	472,264507	NaN	472,264587	0,169396568	C34H35NO	1743,990723
NO	474,186417	NaN	474,186337	-0,168710049	C35H25NO	10831,70996
NO	474,280403	NaN	474,280238	-0,347895583	C34H37NO	1082,607544
NO	476,201965	NaN	476,201987	0,046198883	C35H27NO	7506,605469
NO	478,217752	NaN	478,217637	-0,240476283	C35H29NO	5502,496094
NO	480,233217	NaN	480,233287	0,145762491	C35H31NO	3473,526367
NO	482,24884	NaN	482,248937	0,201140931	C35H33NO	2163,236084
NO	484,170684	NaN	484,170687	0,006196162	C36H23NO	7198,229004
NO	484,264408	NaN	484,264587	0,369632645	C35H35NO	1723,796387
NO	486,186276	NaN	486,186337	0,125466298	C36H25NO	9804,901367
NO	486,280067	NaN	486,280238	0,351649084	C35H37NO	1460,412231
NO	488,20212	NaN	488,201987	-0,272428223	C36H27NO	7124,234375
NO	490,217646	NaN	490,217637	-0,018359193	C36H29NO	4607,135742
NO	492,233375	NaN	492,233287	-0,17877702	C36H31NO	3363,28418
NO	494,155171	NaN	494,155037	-0,271169957	C37H21NO	1296,351074
NO	494,248733	NaN	494,248937	0,412747473	C36H33NO	2543,703613
NO	496,170674	NaN	496,170687	0,026200661	C37H23NO	5384,865723
NO	496,264627	NaN	496,264587	-0,080602165	C36H35NO	1606,129639
NO	498,186149	NaN	498,186337	0,37736884	C37H25NO	6213,19043
NO	498,280115	NaN	498,280238	0,246849043	C36H37NO	1387,040405
NO	500,202152	NaN	500,201987	-0,329866742	C37H27NO	6712,559082
NO	500,296123	NaN	500,295887	-0,471720848	C36H39NO	889,358765
NO	502,217735	NaN	502,217637	-0,195134525	C37H29NO	5133,157227
NO	504,233072	NaN	504,233287	0,426389938	C37H31NO	3146,7854
NO	506,248738	NaN	506,248937	0,393087245	C37H33NO	2563,807373
NO	508,170686	NaN	508,170687	0,001967843	C38H23NO	2485,233398
NO	508,264546	NaN	508,264587	0,080666647	C37H35NO	1954,227783
NO	510,186489	NaN	510,186337	-0,297930362	C38H25NO	4646,54248
NO	510,280306	NaN	510,280238	-0,133260109	C37H37NO	1230,694946
NO	512,20206	NaN	512,201988	-0,140569544	C38H27NO	5435,749512
NO	512,295826	NaN	512,295888	0,12102381	C37H39NO	1256,390991
NO	514,217605	NaN	514,217638	0,064175161	C38H29NO	4491,020508
NO	514,311309	NaN	514,311538	0,44525542	C37H41NO	922,270264
NO	516,233338	NaN	516,233288	-0,096855436	C38H31NO	3308,504639
NO	518,249075	NaN	518,248938	-0,264351724	C38H33NO	1914,682007
NO	520,170794	NaN	520,170688	-0,203779264	C39H23NO	1212,110229
NO	520,264631	NaN	520,264588	-0,082650253	C38H35NO	2099,679932
NO	522,186492	NaN	522,186338	-0,294913882	C39H25NO	3398,904541
NO	522,280231	NaN	522,280238	0,013402767	C38H37NO	1409,866943
NO	524,20206	NaN	524,201988	-0,137351635	C39H27NO	4841,700684
NO	524,296109	NaN	524,295888	-0,421517706	C38H39NO	1053,914307
NO	526,217735	NaN	526,217638	-0,184334376	C39H29NO	3971,704834
NO	526,31167	NaN	526,311538	-0,250802026	C38H41NO	933,662109
NO	528,233339	NaN	528,233287	-0,098441354	C39H31NO	3153,927979
NO	530,249116	NaN	530,248938	-0,335691384	C39H33NO	2212,482666
NO	532,264465	NaN	532,264587	0,229209312	C39H35NO	1491,204224
NO	534,186288	NaN	534,186338	0,093600297	C40H25NO	1927,00769
NO	534,280064	NaN	534,280238	0,325671787	C39H37NO	1523,986328
NO	536,202129	NaN	536,201987	-0,264825576	C40H27NO	3240,893555
NO	536,295743	NaN	536,295888	0,270373134	C39H39NO	1235,498901
NO	538,217452	NaN	538,217638	0,345585107	C40H29NO	3353,600586
NO	538,311332	NaN	538,311537	0,380820373	C39H41NO	829,334839
NO	540,233398	NaN	540,233287	-0,205466791	C40H31NO	2479,413574
NO	540,327099	NaN	540,327188	0,164715013	C39H43NO	799,836792
NO	542,248919	NaN	542,248938	0,035039257	C40H33NO	2045,193604
NO	544,264734	NaN	544,264587	-0,270089224	C40H35NO	1685,950195
NO	546,18626	NaN	546,186337	0,140977529	C41H25NO	1342,977661
NO	546,28023	NaN	546,280238	0,014644498	C40H37NO	1252,533081
NO	548,201931	NaN	548,201987	0,102152129	C41H27NO	2121,618652
NO	548,296141	NaN	548,295887	-0,463253521	C40H39NO	993,470947
NO	550,217408	NaN	550,217638	0,418016407	C41H29NO	2763,673096
NO	552,233445	NaN	552,233287	-0,286110967	C41H31NO	2424,85791
NO	554,248959	NaN	554,248938	-0,037889112	C41H33NO	2128,697266
NO	556,264716	NaN	556,264587	-0,231904031	C41H35NO	1482,35083
NO	558,280086	NaN	558,280238	0,272264697	C41H37NO	1359,341675
NO	560,202226	NaN	560,201987	-0,426631832	C42H27NO	1538,889771
NO	560,295852	NaN	560,295887	0,062466994	C41H39NO	953,083801
NO	562,217563	NaN	562,217638	0,133400297	C42H29NO	1947,104858
NO	562,311385	NaN	562,311537	0,270312789	C41H41NO	971,407715
NO	564,233473	NaN	564,233287	-0,329650881	C42H31NO	2212,546875
NO	566,248842	NaN	566,248938	0,169536742	C42H33NO	1786,713135
NO	568,264479	NaN	568,264587	0,190052314	C42H35NO	1473,341553
NO	570,280236	NaN	570,280238	0,003507048	C42H37NO	1145,973511
NO	572,20225	NaN	572,201987	-0,459627904	C43H27NO	1054,656494
NO	572,295963	NaN	572,295887	-0,132798438	C42H39NO	943,157288
NO	574,217632	NaN	574,217638	0,010449	C43H29NO	1630,235962
NO	576,233183	NaN	576,233287	0,180482458	C43H31NO	1773,539185
NO	578,248757	NaN	578,248938	0,313013977	C43H33NO	1693,880249
NO	580,264715	NaN	580,264587	-0,220589026	C43H35NO	1269,483398
NO	582,280404	NaN	582,280238	-0,285086096	C43H37NO	1115,425903
NO	584,295671	NaN	584,295887	0,369675715	C43H39NO	863,108643
NO	586,217727	NaN	586,217638	-0,151820748	C44H29NO	1350,793823
NO	588,233143	NaN	588,233287	0,244800835	C44H31NO	1422,490723
NO	590,248749	NaN	590,248938	0,32020388	C44H33NO	1360,037476
NO	592,264406	NaN	592,264587	0,305606656	C44H35NO	1121,494263
NO	594,280508	NaN	594,280238	-0,45433111	C44H37NO	892,055664
NO	596,295846	NaN	596,295887	0,068757811	C44H39NO	802,898254
NO	598,217592	NaN	598,217638	0,076895091	C45H29NO	910,393738
NO	598,311348	NaN	598,311537	0,315888945	C44H41NO	840,410889
NO	600,233035	NaN	600,233287	0,419836763	C45H31NO	1224,342163
NO	600,327425	NaN	600,327187	-0,396450478	C44H43NO	820,212341
NO	602,248924	NaN	602,248938	0,023246201	C45H33NO	1331,623535
NO	604,264578	NaN	604,264587	0,014894138	C45H35NO	1099,571411
NO	606,280411	NaN	606,280238	-0,285346592	C45H37NO	939,125549
NO	612,233434	NaN	612,233287	-0,240104553	C46H31NO	1002,901367
NO	614,249171	NaN	614,248938	-0,379325035	C46H33NO	1102,753174
NO	616,264423	NaN	616,264587	0,266119462	C46H35NO	910,425659
NO	624,23337	NaN	624,233287	-0,132963111	C47H31NO	829,695801
NO	626,248857	NaN	626,248938	0,129341537	C47H33NO	953,170166
NO	638,24896	NaN	638,248938	-0,034469309	C48H33NO	817,553833
NO2	246,056078	NaN	246,056053	-0,101602865	C16H9NO2	1008,443726
NO2	260,071777	NaN	260,071702	-0,288382009	C17H11NO2	2069,666016
NO2	272,071719	NaN	272,071702	-0,062483529	C18H11NO2	983,835205
NO2	274,08743	NaN	274,087352	-0,284580808	C18H13NO2	2164,465088
NO2	284,071745	NaN	284,071702	-0,151370234	C19H11NO2	944,343018
NO2	286,08737	NaN	286,087352	-0,062917846	C19H13NO2	1328,328003
NO2	288,103019	NaN	288,103002	-0,059006674	C19H15NO2	1211,205566
NO2	296,071801	NaN	296,071702	-0,334378461	C20H11NO2	2697,539063
NO2	298,087369	NaN	298,087352	-0,057030263	C20H13NO2	1754,95166
NO2	300,103018	NaN	300,103002	-0,053315028	C20H15NO2	1359,39624
NO2	302,118746	NaN	302,118652	-0,311136037	C20H17NO2	911,670959
NO2	310,087336	NaN	310,087352	0,051598364	C21H13NO2	5688,603516
NO2	312,102969	NaN	312,103002	0,105734324	C21H15NO2	2118,327148
NO2	314,118681	NaN	314,118652	-0,092321802	C21H17NO2	1448,236816
NO2	320,071771	NaN	320,071702	-0,215576696	C22H11NO2	1146,496338
NO2	322,087431	NaN	322,087352	-0,245275077	C22H13NO2	2465,104736
NO2	324,10303	NaN	324,103002	-0,086392288	C22H15NO2	5900,366211
NO2	326,11873	NaN	326,118652	-0,239176752	C22H17NO2	1993,527222
NO2	328,134389	NaN	328,134302	-0,265135341	C22H19NO2	1063,902954
NO2	334,08744	NaN	334,087352	-0,263404165	C23H13NO2	3537,092285
NO2	336,103034	NaN	336,103002	-0,095208909	C23H15NO2	4811,032715
NO2	338,118687	NaN	338,118652	-0,103513958	C23H17NO2	3739,831055
NO2	340,134312	NaN	340,134302	-0,029400152	C23H19NO2	1651,798584
NO2	342,150003	NaN	342,149952	-0,149057452	C23H21NO2	913,223877
NO2	346,087349	NaN	346,087352	0,008668332	C24H13NO2	6090,55957
NO2	348,103044	NaN	348,103002	-0,120653944	C24H15NO2	5599,651367
NO2	350,118597	NaN	350,118652	0,157089603	C24H17NO2	5373,806641
NO2	352,134343	NaN	352,134302	-0,116432849	C24H19NO2	2602,294434
