
#Abundancia das classes heteroatomicas
#Intensidade total: 11619373.000000
#Classe	Int. Relativa (%)
23	5042.003418
24	6302.263184
25	7742.008301
26	9797.895508
27	13131.943359
28	16809.806641
29	19361.470703
30	18529.468750
31	20381.976562
32	21740.318359
33	15513.160156
34	14033.301758
35	12001.259766
36	10251.520508
37	8710.705078
38	0.000000
39	7931.434570
40	8072.103516
41	6060.652344

Distribuicao da quantidade de carbonos no DBE10 da classe O3
Num. C	Intensidade
22	3618.895752
23	0.000000
24	5619.146973
25	0.000000
26	8762.582031
27	11071.791016
28	13350.314453
29	17019.337891
30	15495.264648
31	16820.693359
32	19131.414062
33	16805.986328
34	14254.649414
35	12677.222656
36	11753.600586
37	10155.036133
38	10456.225586
39	0.000000
40	11668.195312
41	6747.053711

Distribuicao da quantidade de carbonos no DBE11 da classe O3
Num. C	Intensidade
23	4773.860352
24	5128.963867
25	6028.919922
26	6723.197266
27	8430.802734
28	10076.929688
29	10737.831055
30	12247.582031
31	12153.331055
32	13214.340820
33	12503.339844
34	11096.379883
35	10515.842773
36	9956.115234
37	8552.431641
38	0.000000
39	8474.922852
40	0.000000
41	0.000000
42	5809.573730
43	0.000000
44	4452.661621

Distribuicao da quantidade de carbonos no DBE12 da classe O3
Num. C	Intensidade
24	4849.479004
25	5483.970215
26	6651.501465
27	7041.602051
28	8325.672852
29	8500.794922
30	8872.506836
31	10564.307617
32	10503.973633
33	8654.161133
34	8068.282715
35	8227.426758
36	8438.230469
37	8538.953125
38	0.000000
39	8312.761719
40	9137.325195
41	6381.036621

Distribuicao da quantidade de carbonos no DBE13 da classe O3
Num. C	Intensidade
23	3861.119385
24	4086.201904
25	4205.152344
26	5882.697266
27	5812.365723
28	7009.817871
29	6839.864258
30	7666.997559
31	7877.809570
32	8281.851562
33	7960.315918
34	6245.910645
35	6691.217773
36	6801.493164
37	6554.140137
38	6841.731445
39	7102.978027
40	0.000000
41	5429.210449

Distribuicao da quantidade de carbonos no DBE14 da classe O3
Num. C	Intensidade
25	4537.099121
26	5006.475586
27	4921.268555
28	5500.844727
29	6471.978516
30	5849.131836
31	6762.245117
32	6085.933594
33	6011.202148
34	5855.091797
35	5992.637207
36	4879.100098
37	5893.118652
38	5170.915039

Distribuicao da quantidade de carbonos no DBE15 da classe O3
Num. C	Intensidade
22	3370.410889
23	0.000000
24	2905.591553
25	0.000000
26	4183.075195
27	0.000000
28	5433.085938
29	4350.389160
30	4948.911133
31	4952.402832
32	5190.192383
33	4802.708496
34	4473.903809
35	4179.094727
36	4647.319336
37	4261.278320
38	0.000000
39	0.000000
40	6905.156250
41	4124.516602
42	3268.557373

Distribuicao da quantidade de carbonos no DBE16 da classe O3
Num. C	Intensidade
25	2793.342041
26	3191.735107
27	3374.497070
28	0.000000
29	4420.503418
30	4121.730469
31	3493.976074
32	4024.297119
33	3808.723389
34	3757.335693
35	3542.072021
36	3617.025146
37	0.000000
38	0.000000
39	3952.592773
40	4805.025879

Distribuicao da quantidade de carbonos no DBE17 da classe O3
Num. C	Intensidade
24	1731.758423
25	2300.954590
26	2207.220459
27	2706.493408
28	3088.625488
29	2910.094971
30	0.000000
31	2916.562500
32	3024.058105
33	2479.726318
34	0.000000
35	0.000000
36	2685.809570
37	0.000000
38	0.000000
39	0.000000
40	3359.636475
41	0.000000
42	0.000000
43	1707.612427

Distribuicao da quantidade de carbonos no DBE18 da classe O3
Num. C	Intensidade
27	2037.956787
28	2376.911621
29	2582.895996
30	2665.580078
31	2696.307129
32	0.000000
33	0.000000
34	2254.891846
35	2229.764648
36	2582.719971
37	1862.315674
38	1932.664673
39	0.000000
40	2588.837402
41	0.000000
42	0.000000
43	1618.535156

Distribuicao da quantidade de carbonos no DBE19 da classe O3
Num. C	Intensidade
29	1578.624512
30	0.000000
31	0.000000
32	2071.538818
33	1980.618896
34	1683.406250
35	1719.592163
36	0.000000
37	1999.193359
38	1301.096924

Distribuicao da quantidade de carbonos no DBE20 da classe O3
Num. C	Intensidade
30	1385.438110
31	1368.763794
32	1404.926392
33	0.000000
34	1244.912720
35	0.000000
36	0.000000
37	1215.841919


#Abundancia relativa do DBE na Classe Heteroatomica O4
