
#Abundancia das classes heteroatomicas
#Intensidade total: 7457151.500000
#Classe	Int. Relativa (%)
Distribuicao da quantidade de carbonos no DBE18 da classe N
Num. C	Intensidade
24	1670.268921
25	3363.734375
26	4595.211914
27	4799.486328
28	4543.326660
29	5071.312988
30	4765.825684
31	5065.300781
32	5573.040527
33	5661.641602
34	5200.635254
35	4972.996094
36	4954.159180
37	4699.456543
38	4239.714844
39	4194.485352
40	3940.080322
41	3644.043701
42	3059.111328
43	3083.397705
44	2663.157715
45	2477.393311
46	2282.433838
47	1996.969604
48	2184.588135
49	2061.954102
50	1951.517822
51	1662.640381
52	1619.183594
53	1390.510010
54	1468.000488
55	1160.076294
56	1130.500854
57	943.021423
58	921.700989
59	868.184204

Distribuicao da quantidade de carbonos no DBE19 da classe N
Num. C	Intensidade
26	683.888977
27	1178.474731
28	2052.260742
29	2481.119629
30	2849.633301
31	3308.198975
32	3547.281494
33	4284.666992
34	3510.550537
35	3657.459229
36	3411.008057
37	3197.513428
38	3388.031250
39	3225.535400
40	3246.932617
41	2895.823975
42	2530.950195
43	2358.280518
44	2353.813721
45	1911.538452
46	1378.397461
47	1681.809937
48	2002.259033
49	1775.186890
50	1313.910034
51	1422.236084
52	1207.026367
53	1139.847290
54	1144.802856
55	1172.628418
56	1163.539917
57	666.957092
58	699.406372
59	824.999939
60	635.785034

Distribuicao da quantidade de carbonos no DBE20 da classe N
Num. C	Intensidade
27	783.667480
28	1114.660156
29	1703.708862
30	2278.192139
31	2321.289795
32	2529.242432
33	3018.142578
34	2932.909912
35	2924.870361
36	2799.179932
37	2912.854248
38	2657.506836
39	2518.202637
40	2367.160400
41	2161.452881
42	2093.451904
43	1775.416992
44	1843.929321
45	1616.020508
46	1495.005249
47	1446.899658
48	1272.582520
49	1409.277954
50	1374.110718
51	1104.608276
52	926.879944
53	1097.834106
54	1109.974487
55	1033.252808
56	934.393433
57	975.288330
58	0.000000
59	686.149719

Distribuicao da quantidade de carbonos no DBE21 da classe N
Num. C	Intensidade
29	1101.735718
30	1576.280273
31	1732.605103
32	1866.270142
33	1888.690186
34	1988.620483
35	2160.426025
36	2437.333252
37	2214.783936
38	2041.240723
39	1913.422241
40	1834.860718
41	1768.791626
42	1571.703857
43	1619.816528
44	1584.797485
45	1572.885986
46	981.392822
47	1318.437256
48	1180.760986
49	970.565857
50	1145.135376
51	1125.049194
52	885.196228
53	705.826172
54	906.817139
55	924.858276
56	903.512878
57	697.415405
58	789.680298
59	0.000000
60	689.547241

Distribuicao da quantidade de carbonos no DBE22 da classe N
Num. C	Intensidade
31	913.339600
32	1071.548828
33	1225.502686
34	1490.221802
