
#Abundancia das classes heteroatomicas
#Intensidade total: 8710929.000000
#Classe	Int. Relativa (%)

Distribuicao da quantidade de carbonos no DBE29 da classe NO
Num. C	Intensidade
39	1212.110229
40	1927.007690
41	2121.618652
42	1947.104858
43	1773.539185
44	1360.037476
45	1099.571411

Distribuicao da quantidade de carbonos no DBE30 da classe NO
Num. C	Intensidade
41	1342.977661
42	1538.889771
43	1630.235962
44	1422.490723
45	1331.623535
46	910.425659

Distribuicao da quantidade de carbonos no DBE31 da classe NO
Num. C	Intensidade
43	1054.656494
44	1350.793823
45	1224.342163
46	1102.753174

Distribuicao da quantidade de carbonos no DBE32 da classe NO
Num. C	Intensidade
45	910.393738
46	1002.901367
47	953.170166

Distribuicao da quantidade de carbonos no DBE33 da classe NO
Num. C	Intensidade
47	829.695801
48	817.553833


#Abundancia relativa do DBE na Classe Heteroatomica NO2
#Intensidade total da classe: 720202.125000
DBE	Int. Relativa (%)
13	1.022692
14	0.985407
15	2.599348
16	5.241645
17	5.575336
18	6.833942
19	11.692534
20	8.564241
21	11.524742
22	10.550551
23	8.258395
24	8.162150
25	5.726785
26	3.812832
27	2.941550
28	2.245688
29	1.470973
30	1.176796
31	0.659564
32	0.549129
33	0.405738

Distribuicao da quantidade de carbonos no DBE13 da classe NO2
Num. C	Intensidade
16	1008.443726
17	2069.666016
18	2164.465088
19	1211.205566
20	911.670959

Distribuicao da quantidade de carbonos no DBE14 da classe NO2
Num. C	Intensidade
18	983.835205
19	1328.328003
20	1359.396240
21	1448.236816
22	1063.902954
23	913.223877

Distribuicao da quantidade de carbonos no DBE15 da classe NO2
Num. C	Intensidade
19	944.343018
20	1754.951660
21	2118.327148
22	1993.527222
23	1651.798584
24	1418.548950
25	1217.122681
26	1263.352417
27	1001.058350
28	1075.268188
29	937.665161
30	830.536072
31	904.757812
32	796.813416
33	812.493042

Distribuicao da quantidade de carbonos no DBE16 da classe NO2
Num. C	Intensidade
20	2697.539062
21	5688.603516
22	5900.366211
23	3739.831055
24	2602.294434
25	2330.726562
26	2170.575195
27	2029.431152
28	1998.934082
29	1704.758179
30	1613.529175
31	1074.541870
32	1358.781372
33	1107.213135
34	920.181885
35	813.124573

Distribuicao da quantidade de carbonos no DBE17 da classe NO2
Num. C	Intensidade
22	2465.104736
23	4811.032715
24	5373.806641
25	4776.649414
26	3630.479492
27	2806.655273
28	2594.692139
29	2120.683350
30	1885.803833
31	1803.986938
32	1631.201782
33	1302.491943
34	1110.371582
35	1180.372314
36	972.931641
37	877.767029
38	809.661011
